Country,Longitude,Latitude,Goldstein
UnitedStates,-74.5329,40.8334,-3.0
UnitedStates,-74.6413,39.8834,-5.0
UnitedStates,-75.3749,40.5004,-7.0
UnitedStates,-75.5148,39.3498,-5.0
UnitedStates,-76.061,43.152,-3.0
UnitedStates,-76.405,38.319,-5.0
UnitedStates,-76.5877,34.6649,-5.0
UnitedStates,-77.0422,38.899,-5.0
UnitedStates,-78.5986,36.656,-5.0
UnitedStates,-79.1214,33.4332,-5.0
UnitedStates,-79.1514,33.3724,-5.0
UnitedStates,-79.4595,33.2352,-10.0
UnitedStates,-79.7133,33.1673,-5.0
UnitedStates,-80.0534,26.7153,-2.0
UnitedStates,-80.1937,25.7743,-4.0
UnitedStates,-80.8431,35.2271,-4.0
UnitedStates,-80.9066,33.8191,-5.0
UnitedStates,-81.4035,41.5176,-2.0
UnitedStates,-81.4537,37.7393,-2.0
UnitedStates,-81.5792,26.6803,-2.0
UnitedStates,-81.6484,30.3344,-4.0
UnitedStates,-81.6556,30.3322,-4.0
UnitedStates,-81.8831,26.567,-9.0
UnitedStates,-82.7088,35.9429,-2.0
UnitedStates,-84.4375,45.6875,-4.0
UnitedStates,-85.8125,34.5623,-5.0
UnitedStates,-86.8073,32.799,-6.0
UnitedStates,-87.9065,43.0389,-10.0
UnitedStates,-91.8749,31.1801,-3.0
UnitedStates,-92.3809,34.9513,-8.0
UnitedStates,-95.4002,29.8336,-5.0
UnitedStates,-96.8005,38.5111,-8.0
UnitedStates,-96.8067,32.7831,-5.0
UnitedStates,-97.0,38.0,-6.0
UnitedStates,-97.1317,33.0732,-10.0
UnitedStates,-97.6336,26.467,-2.0
UnitedStates,-98.2883,41.1289,-4.0
UnitedStates,-98.4936,29.4241,-5.0
UnitedStates,-99.793,47.5362,-8.0
Vietnam,106.0,16.0,-5.0
Zimbabwe,31.6335,-19.6444,-5.0
